start_id,end_id,start_lat,start_lon,end_lat,end_lon,count
339478,364019650,49.470261,8.482255,49.477839,8.467814,3817
339472,339475,49.48711,8.456876,49.47996,8.469749,3696
339475,660951,49.47996,8.469749,49.48275,8.463303,3497
660971,364019650,49.456695,8.481027,49.477839,8.467814,2192
339472,660951,49.48711,8.456876,49.48275,8.463303,2064
339472,148606240,49.48711,8.456876,49.484796,8.462552,1895
339468,660951,49.484576,8.459859,49.48275,8.463303,1846
339468,339475,49.484576,8.459859,49.47996,8.469749,1748
339472,276163348,49.48711,8.456876,49.480781,8.469247,1679
339475,7853258,49.47996,8.469749,49.492344,8.482906,1672
339463,339472,49.487956,8.466007,49.48711,8.456876,1652
660951,364019650,49.48275,8.463303,49.477839,8.467814,1581
339475,28450544,49.47996,8.469749,49.475967,8.483157,1509
339475,339476,49.47996,8.469749,49.493448,8.458968,1462
660939,364019650,49.464913,8.475941,49.477839,8.467814,1437
339475,339485,49.47996,8.469749,49.478512,8.482561,1417
30612064,364019650,49.468919,8.470824,49.477839,8.467814,1390
339475,30612264,49.47996,8.469749,49.485946,8.46215,1285
339475,339478,49.47996,8.469749,49.470261,8.482255,1242
660951,276163348,49.48275,8.463303,49.480781,8.469247,1203
339343,339475,49.49707,8.473044,49.47996,8.469749,1193
339466,339475,49.491183,8.462391,49.47996,8.469749,1181
660951,660971,49.48275,8.463303,49.456695,8.481027,1133
339475,148606240,49.47996,8.469749,49.484796,8.462552,1121
660971,31471648,49.456695,8.481027,49.459715,8.487411,1076
339462,339476,49.489761,8.468437,49.493448,8.458968,1073
339478,660971,49.470261,8.482255,49.456695,8.481027,1057
339456,339475,49.490685,8.475705,49.47996,8.469749,1034
339475,31471276,49.47996,8.469749,49.487604,8.471435,1017
7853258,58196168,49.492344,8.482906,49.479693,8.471489,1000
339475,339487,49.47996,8.469749,49.485371,8.469493,957
339468,339472,49.484576,8.459859,49.48711,8.456876,956
339485,58196168,49.478512,8.482561,49.479693,8.471489,943
339463,339475,49.487956,8.466007,49.47996,8.469749,906
339472,339476,49.48711,8.456876,49.493448,8.458968,857
339350,339475,49.506903,8.492206,49.47996,8.469749,854
339472,364019650,49.48711,8.456876,49.477839,8.467814,848
339463,339476,49.487956,8.466007,49.493448,8.458968,837
28450242,364019650,49.473974,8.472009,49.477839,8.467814,836
339475,276163348,49.47996,8.469749,49.480781,8.469247,835
660939,660951,49.464913,8.475941,49.48275,8.463303,832
339352,339472,49.497225,8.457751,49.48711,8.456876,827
339475,30612203,49.47996,8.469749,49.4945,8.459644,817
339349,339475,49.498946,8.467224,49.47996,8.469749,816
660951,1557693,49.48275,8.463303,49.47365,8.46642,814
339464,339475,49.489012,8.462997,49.47996,8.469749,809
339475,29964359,49.47996,8.469749,49.484387,8.473963,808
339485,7853258,49.478512,8.482561,49.492344,8.482906,802
339462,339475,49.489761,8.468437,49.47996,8.469749,802
339475,28450681,49.47996,8.469749,49.496424,8.47725,800
660951,28450596,49.48275,8.463303,49.479913,8.475652,795
339475,30612250,49.47996,8.469749,49.4908,8.471387,793
339462,339472,49.489761,8.468437,49.48711,8.456876,787
339354,339476,49.493002,8.470325,49.493448,8.458968,776
339472,31471276,49.48711,8.456876,49.487604,8.471435,768
339476,148606240,49.493448,8.458968,49.484796,8.462552,766
57585097,57585616,49.525003,8.481472,49.528227,8.476462,760
339472,33282192,49.48711,8.456876,49.489671,8.466929,744
339464,339472,49.489012,8.462997,49.48711,8.456876,738
339352,339354,49.497225,8.457751,49.493002,8.470325,735
339354,339475,49.493002,8.470325,49.47996,8.469749,734
339343,148606240,49.49707,8.473044,49.484796,8.462552,732
339475,30612231,49.47996,8.469749,49.500678,8.470904,722
339475,660943,49.47996,8.469749,49.474329,8.486944,711
339346,339475,49.497263,8.483832,49.47996,8.469749,710
339354,339472,49.493002,8.470325,49.48711,8.456876,705
339472,339487,49.48711,8.456876,49.485371,8.469493,696
339466,148606240,49.491183,8.462391,49.484796,8.462552,686
1557693,364019650,49.47365,8.46642,49.477839,8.467814,680
339352,339475,49.497225,8.457751,49.47996,8.469749,680
339485,660951,49.478512,8.482561,49.48275,8.463303,674
339475,28450596,49.47996,8.469749,49.479913,8.475652,674
339466,660951,49.491183,8.462391,49.48275,8.463303,671
339352,339463,49.497225,8.457751,49.487956,8.466007,670
4726808,30612162,49.473472,8.53399,49.478184,8.506728,670
660951,31471276,49.48275,8.463303,49.487604,8.471435,653
339476,660951,49.493448,8.458968,49.48275,8.463303,652
339343,339346,49.49707,8.473044,49.497263,8.483832,649
339463,660951,49.487956,8.466007,49.48275,8.463303,647
