,GraphhopperKoordinaten,startpoint_lat,startpoint_lon,endpoint_lat,endpoint_lon,StartStationID,EndStationID,count
0,"[[8.482255, 49.470261], [8.482359, 49.470322], [8.482098, 49.470511], [8.48133, 49.470992], [8.480561, 49.471405], [8.48049, 49.471435], [8.480113, 49.471586], [8.477872, 49.472442], [8.477147, 49.47273], [8.476848, 49.472858], [8.476831, 49.472903], [8.476651, 49.472994], [8.47653, 49.473084], [8.475435, 49.474032], [8.475268, 49.474144], [8.473552, 49.474974], [8.47332, 49.475061], [8.471512, 49.475958], [8.471439, 49.476003], [8.471323, 49.476111], [8.47091, 49.476316], [8.4705, 49.476566], [8.46923, 49.477245], [8.468798, 49.477465], [8.468242, 49.477728], [8.467896, 49.477872], [8.467846, 49.477825], [8.467814, 49.477839]]",49.470261,8.482255,49.477839,8.467814,339478,364019650,3817
1,"[[8.456876, 49.48711], [8.456849, 49.48712], [8.456899, 49.487178], [8.456982, 49.487147], [8.45707, 49.487243], [8.457345, 49.487143], [8.457613, 49.48703], [8.458129, 49.486829], [8.458094, 49.486786], [8.458202, 49.486746], [8.458489, 49.486618], [8.458791, 49.486461], [8.45903, 49.486366], [8.45904, 49.486325], [8.459102, 49.486259], [8.459582, 49.485993], [8.459661, 49.485959], [8.460734, 49.485522], [8.460624, 49.485401], [8.461214, 49.485073], [8.461531, 49.484921], [8.464971, 49.483573], [8.465811, 49.483224], [8.465846, 49.483141], [8.467141, 49.482627], [8.466351, 49.481754], [8.468225, 49.481024], [8.468204, 49.481001], [8.467934, 49.480709], [8.46841, 49.480498], [8.468529, 49.480457], [8.468778, 49.48039], [8.468851, 49.480348], [8.468965, 49.480303], [8.469113, 49.480274], [8.469101, 49.480266], [8.469076, 49.480251], [8.46911, 49.480244], [8.469371, 49.480145], [8.469592, 49.480037], [8.46976, 49.479971], [8.469749, 49.47996]]",49.48711,8.456876,49.47996,8.469749,339472,339475,3696
2,"[[8.469749, 49.47996], [8.46976, 49.479971], [8.469592, 49.480037], [8.469371, 49.480145], [8.46911, 49.480244], [8.469076, 49.480251], [8.469101, 49.480266], [8.469264, 49.48041], [8.469205, 49.480435], [8.46924, 49.480479], [8.469264, 49.480581], [8.469057, 49.480661], [8.46905, 49.480684], [8.469015, 49.480688], [8.468942, 49.480714], [8.467326, 49.481341], [8.467267, 49.481316], [8.467188, 49.481318], [8.4669, 49.481426], [8.466342, 49.481649], [8.466313, 49.481667], [8.466241, 49.481664], [8.465754, 49.481855], [8.465695, 49.481855], [8.465605, 49.481866], [8.465544, 49.481918], [8.465424, 49.481974], [8.46496, 49.482155], [8.464965, 49.482161], [8.464657, 49.482275], [8.46454, 49.482217], [8.464202, 49.482407], [8.463322, 49.48277], [8.463303, 49.48275]]",49.47996,8.469749,49.48275,8.463303,339475,660951,3497
3,"[[8.481027, 49.456695], [8.481134, 49.456726], [8.480707, 49.457313], [8.478481, 49.460285], [8.477024, 49.462262], [8.476635, 49.462775], [8.476403, 49.463135], [8.476174, 49.463457], [8.475702, 49.464087], [8.475492, 49.464358], [8.475356, 49.464474], [8.475021, 49.4647], [8.474916, 49.464787], [8.474844, 49.464897], [8.474711, 49.46528], [8.47468, 49.465331], [8.473962, 49.466248], [8.473235, 49.46721], [8.473147, 49.467311], [8.473082, 49.467426], [8.472437, 49.468258], [8.472249, 49.468611], [8.4722, 49.468679], [8.471939, 49.468887], [8.472065, 49.468951], [8.471533, 49.469273], [8.47151, 49.469316], [8.471395, 49.469381], [8.471364, 49.469417], [8.471146, 49.469554], [8.470791, 49.469796], [8.470573, 49.469978], [8.470412, 49.470153], [8.470315, 49.470318], [8.470234, 49.470574], [8.470184, 49.470814], [8.470059, 49.47126], [8.469824, 49.471903], [8.46978, 49.471983], [8.469563, 49.472255], [8.469065, 49.473697], [8.468991, 49.473763], [8.468596, 49.474897], [8.46867, 49.474909], [8.468553, 49.475161], [8.468397, 49.475606], [8.468369, 49.47572], [8.468355, 49.475895], [8.468353, 49.475938], [8.468335, 49.475975], [8.468299, 49.475997], [8.468217, 49.47616], [8.468085, 49.476554], [8.468085, 49.476761], [8.468064, 49.47685], [8.467815, 49.477584], [8.467769, 49.477579], [8.467726, 49.477653], [8.467721, 49.477705], [8.467846, 49.477825], [8.467814, 49.477839]]",49.456695,8.481027,49.477839,8.467814,660971,364019650,2192
4,"[[8.456876, 49.48711], [8.456849, 49.48712], [8.456899, 49.487178], [8.456982, 49.487147], [8.45707, 49.487243], [8.457345, 49.487143], [8.457613, 49.48703], [8.458129, 49.486829], [8.458094, 49.486786], [8.458202, 49.486746], [8.458489, 49.486618], [8.458791, 49.486461], [8.45903, 49.486366], [8.459085, 49.486432], [8.459278, 49.486338], [8.459365, 49.486163], [8.45929, 49.485799], [8.459219, 49.485547], [8.45919, 49.485483], [8.4591, 49.485366], [8.459429, 49.485235], [8.459527, 49.485159], [8.459958, 49.484998], [8.459974, 49.484944], [8.460289, 49.484825], [8.460161, 49.484673], [8.460206, 49.484655], [8.460064, 49.484493], [8.460418, 49.48436], [8.460619, 49.484282], [8.460742, 49.484099], [8.461008, 49.483713], [8.461248, 49.483707], [8.461594, 49.48358], [8.462666, 49.483137], [8.462945, 49.483037], [8.462991, 49.482976], [8.463187, 49.482904], [8.463205, 49.48288], [8.463186, 49.482853], [8.463189, 49.482823], [8.463322, 49.48277], [8.463303, 49.48275]]",49.48711,8.456876,49.48275,8.463303,339472,660951,2064
5,"[[8.456876, 49.48711], [8.456849, 49.48712], [8.456899, 49.487178], [8.456982, 49.487147], [8.45707, 49.487243], [8.457345, 49.487143], [8.457613, 49.48703], [8.458129, 49.486829], [8.458094, 49.486786], [8.458202, 49.486746], [8.458489, 49.486618], [8.458791, 49.486461], [8.45903, 49.486366], [8.45904, 49.486325], [8.459102, 49.486259], [8.459582, 49.485993], [8.459661, 49.485959], [8.460734, 49.485522], [8.461587, 49.485126], [8.462519, 49.484759], [8.462552, 49.484796]]",49.48711,8.456876,49.484796,8.462552,339472,148606240,1895
6,"[[8.459859, 49.484576], [8.459937, 49.484547], [8.459915, 49.484522], [8.459993, 49.484493], [8.460064, 49.484493], [8.460418, 49.48436], [8.460619, 49.484282], [8.460742, 49.484099], [8.461008, 49.483713], [8.461248, 49.483707], [8.461594, 49.48358], [8.462666, 49.483137], [8.462945, 49.483037], [8.462991, 49.482976], [8.463187, 49.482904], [8.463205, 49.48288], [8.463186, 49.482853], [8.463189, 49.482823], [8.463322, 49.48277], [8.463303, 49.48275]]",49.484576,8.459859,49.48275,8.463303,339468,660951,1846
7,"[[8.459859, 49.484576], [8.459937, 49.484547], [8.459915, 49.484522], [8.459993, 49.484493], [8.460064, 49.484493], [8.460418, 49.48436], [8.460619, 49.484282], [8.460742, 49.484099], [8.461008, 49.483713], [8.461248, 49.483707], [8.461594, 49.48358], [8.462666, 49.483137], [8.462945, 49.483037], [8.462991, 49.482976], [8.463187, 49.482904], [8.463205, 49.48288], [8.463186, 49.482853], [8.463189, 49.482823], [8.463739, 49.482604], [8.464202, 49.482407], [8.46454, 49.482217], [8.464657, 49.482275], [8.46486, 49.4822], [8.464965, 49.482161], [8.46496, 49.482155], [8.465424, 49.481974], [8.465544, 49.481918], [8.465605, 49.481866], [8.465695, 49.481855], [8.465754, 49.481855], [8.466241, 49.481664], [8.466313, 49.481667], [8.466342, 49.481649], [8.4669, 49.481426], [8.467188, 49.481318], [8.467267, 49.481316], [8.467326, 49.481341], [8.468204, 49.481001], [8.467934, 49.480709], [8.46841, 49.480498], [8.468529, 49.480457], [8.468778, 49.48039], [8.468851, 49.480348], [8.468965, 49.480303], [8.469113, 49.480274], [8.469101, 49.480266], [8.469076, 49.480251], [8.46911, 49.480244], [8.469371, 49.480145], [8.469592, 49.480037], [8.46976, 49.479971], [8.469749, 49.47996]]",49.484576,8.459859,49.47996,8.469749,339468,339475,1748
8,"[[8.456876, 49.48711], [8.456849, 49.48712], [8.456899, 49.487178], [8.456982, 49.487147], [8.45707, 49.487243], [8.457345, 49.487143], [8.457613, 49.48703], [8.458129, 49.486829], [8.458094, 49.486786], [8.458202, 49.486746], [8.458489, 49.486618], [8.458791, 49.486461], [8.45903, 49.486366], [8.45904, 49.486325], [8.459102, 49.486259], [8.459582, 49.485993], [8.459661, 49.485959], [8.460734, 49.485522], [8.460624, 49.485401], [8.461214, 49.485073], [8.461531, 49.484921], [8.464971, 49.483573], [8.465811, 49.483224], [8.465846, 49.483141], [8.467059, 49.482658], [8.469035, 49.481904], [8.469906, 49.481562], [8.469198, 49.4808], [8.469247, 49.480781]]",49.48711,8.456876,49.480781,8.469247,339472,276163348,1679
9,"[[8.469749, 49.47996], [8.46976, 49.479971], [8.470037, 49.479863], [8.47007, 49.479892], [8.47012, 49.479982], [8.470124, 49.480039], [8.470223, 49.480025], [8.470391, 49.480047], [8.470444, 49.480066], [8.470571, 49.480132], [8.471049, 49.480579], [8.4711, 49.480557], [8.471511, 49.480988], [8.471566, 49.481121], [8.472232, 49.481811], [8.47257, 49.482187], [8.473194, 49.482829], [8.474548, 49.48418], [8.475056, 49.483982], [8.475231, 49.483994], [8.475223, 49.484056], [8.47524, 49.484118], [8.47528, 49.484174], [8.47534, 49.484222], [8.475417, 49.484258], [8.475505, 49.484281], [8.475591, 49.484288], [8.475677, 49.484283], [8.475756, 49.484266], [8.475826, 49.484238], [8.476263, 49.484739], [8.477338, 49.485943], [8.478705, 49.487447], [8.478874, 49.487584], [8.47926, 49.487697], [8.479377, 49.487755], [8.47947, 49.48783], [8.479511, 49.48788], [8.479837, 49.488197], [8.4801, 49.488487], [8.480267, 49.488709], [8.480486, 49.488955], [8.480709, 49.489239], [8.480731, 49.489311], [8.480801, 49.489463], [8.481079, 49.489883], [8.481147, 49.489938], [8.481201, 49.490069], [8.482619, 49.492127], [8.482733, 49.492241], [8.482834, 49.49237], [8.482906, 49.492344]]",49.47996,8.469749,49.492344,8.482906,339475,7853258,1672
10,"[[8.466007, 49.487956], [8.46593, 49.487872], [8.465343, 49.4881], [8.463779, 49.486392], [8.462626, 49.486827], [8.462547, 49.486758], [8.462433, 49.486709], [8.461747, 49.486469], [8.461696, 49.486426], [8.46167, 49.486359], [8.461676, 49.486299], [8.461572, 49.486274], [8.461361, 49.4862], [8.461296, 49.486236], [8.457492, 49.48771], [8.456982, 49.487147], [8.456899, 49.487178], [8.456849, 49.48712], [8.456876, 49.48711]]",49.487956,8.466007,49.48711,8.456876,339463,339472,1652
11,"[[8.463303, 49.48275], [8.463322, 49.48277], [8.464202, 49.482407], [8.46454, 49.482217], [8.464657, 49.482275], [8.46486, 49.4822], [8.465057, 49.481841], [8.464952, 49.481761], [8.465053, 49.481716], [8.465674, 49.481528], [8.465798, 49.481478], [8.465924, 49.481404], [8.465954, 49.481375], [8.465992, 49.481311], [8.466021, 49.481144], [8.466023, 49.481094], [8.465358, 49.480522], [8.465266, 49.48043], [8.465205, 49.480352], [8.465136, 49.480208], [8.465105, 49.480067], [8.465131, 49.479993], [8.465177, 49.479931], [8.465522, 49.479651], [8.465604, 49.479569], [8.465735, 49.479414], [8.466347, 49.478612], [8.466387, 49.47853], [8.46641, 49.478441], [8.466429, 49.478327], [8.466426, 49.478253], [8.466527, 49.478202], [8.466592, 49.478185], [8.4667, 49.47814], [8.467367, 49.477855], [8.467495, 49.477845], [8.467559, 49.47783], [8.467758, 49.477741], [8.467846, 49.477825], [8.467814, 49.477839]]",49.48275,8.463303,49.477839,8.467814,660951,364019650,1581
12,"[[8.469749, 49.47996], [8.46976, 49.479971], [8.470037, 49.479863], [8.470132, 49.479816], [8.470253, 49.479737], [8.470312, 49.479687], [8.47114, 49.479288], [8.471087, 49.479183], [8.471092, 49.479155], [8.471137, 49.479124], [8.471155, 49.479096], [8.47119, 49.47907], [8.472895, 49.478236], [8.475135, 49.477108], [8.475232, 49.477115], [8.475744, 49.477373], [8.476059, 49.477545], [8.476074, 49.477534], [8.476191, 49.477566], [8.476637, 49.477198], [8.477087, 49.47685], [8.477661, 49.476436], [8.477828, 49.476475], [8.477923, 49.476523], [8.478318, 49.476208], [8.478431, 49.476097], [8.478563, 49.475999], [8.478923, 49.475977], [8.478999, 49.476014], [8.479739, 49.4754], [8.479958, 49.475516], [8.480306, 49.475236], [8.48059, 49.475345], [8.480704, 49.475211], [8.480773, 49.475204], [8.480845, 49.475215], [8.481095, 49.475276], [8.481179, 49.475304], [8.48125, 49.475224], [8.4831, 49.476022], [8.483157, 49.475967]]",49.47996,8.469749,49.475967,8.483157,339475,28450544,1509
13,"[[8.469749, 49.47996], [8.46976, 49.479971], [8.469592, 49.480037], [8.469371, 49.480145], [8.46911, 49.480244], [8.469076, 49.480251], [8.469101, 49.480266], [8.469264, 49.48041], [8.469205, 49.480435], [8.46924, 49.480479], [8.469264, 49.480581], [8.469057, 49.480661], [8.46905, 49.480684], [8.469015, 49.480688], [8.468761, 49.480784], [8.468782, 49.480807], [8.466351, 49.481754], [8.467141, 49.482627], [8.465846, 49.483141], [8.465779, 49.483319], [8.465751, 49.483319], [8.465686, 49.483405], [8.465685, 49.483436], [8.463197, 49.484415], [8.462279, 49.484761], [8.461529, 49.485063], [8.461515, 49.485161], [8.46217, 49.485873], [8.462107, 49.486026], [8.46209, 49.48611], [8.462015, 49.486109], [8.461971, 49.486115], [8.461934, 49.486129], [8.461708, 49.486262], [8.461676, 49.486299], [8.46167, 49.486359], [8.461696, 49.486426], [8.4616, 49.486463], [8.46298, 49.487977], [8.46426, 49.489356], [8.461565, 49.490414], [8.46108, 49.490602], [8.46112, 49.490685], [8.460896, 49.491055], [8.460922, 49.491155], [8.46117, 49.491329], [8.461215, 49.491382], [8.461309, 49.49154], [8.459411, 49.492294], [8.459654, 49.492497], [8.459702, 49.492622], [8.459902, 49.492765], [8.460187, 49.492945], [8.459933, 49.493032], [8.45989, 49.49313], [8.459008, 49.49349], [8.458968, 49.493448]]",49.47996,8.469749,49.493448,8.458968,339475,339476,1462
14,"[[8.475941, 49.464913], [8.47589, 49.464978], [8.476487, 49.465171], [8.476349, 49.465341], [8.475556, 49.465098], [8.475015, 49.465521], [8.47447, 49.466105], [8.473981, 49.466706], [8.473047, 49.468047], [8.47282, 49.468399], [8.472504, 49.46892], [8.472362, 49.468883], [8.472212, 49.468871], [8.472065, 49.468951], [8.471533, 49.469273], [8.47151, 49.469316], [8.471395, 49.469381], [8.471364, 49.469417], [8.471146, 49.469554], [8.470791, 49.469796], [8.470573, 49.469978], [8.470412, 49.470153], [8.470315, 49.470318], [8.470234, 49.470574], [8.470184, 49.470814], [8.470059, 49.47126], [8.469824, 49.471903], [8.46978, 49.471983], [8.469563, 49.472255], [8.469065, 49.473697], [8.468991, 49.473763], [8.468596, 49.474897], [8.46867, 49.474909], [8.468553, 49.475161], [8.468397, 49.475606], [8.468369, 49.47572], [8.468355, 49.475895], [8.468353, 49.475938], [8.468335, 49.475975], [8.468299, 49.475997], [8.468217, 49.47616], [8.468085, 49.476554], [8.468085, 49.476761], [8.468064, 49.47685], [8.467815, 49.477584], [8.467769, 49.477579], [8.467726, 49.477653], [8.467721, 49.477705], [8.467846, 49.477825], [8.467814, 49.477839]]",49.464913,8.475941,49.477839,8.467814,660939,364019650,1437
15,"[[8.469749, 49.47996], [8.46976, 49.479971], [8.470037, 49.479863], [8.47007, 49.479892], [8.47012, 49.479982], [8.470244, 49.479953], [8.470371, 49.479934], [8.470502, 49.479948], [8.470624, 49.479985], [8.470682, 49.479958], [8.471321, 49.479579], [8.471525, 49.479506], [8.471494, 49.479467], [8.471797, 49.479389], [8.47205, 49.479355], [8.472208, 49.479348], [8.472464, 49.47936], [8.472634, 49.479391], [8.472813, 49.479442], [8.472901, 49.479476], [8.473329, 49.479688], [8.473481, 49.479704], [8.473608, 49.479686], [8.474207, 49.479188], [8.477269, 49.480767], [8.477344, 49.480876], [8.47753, 49.480838], [8.477587, 49.480869], [8.479232, 49.480363], [8.479976, 49.48012], [8.48089, 49.479767], [8.481021, 49.479684], [8.481185, 49.479541], [8.481956, 49.478919], [8.482176, 49.478725], [8.482491, 49.478475], [8.482561, 49.478512]]",49.47996,8.469749,49.478512,8.482561,339475,339485,1417
16,"[[8.470824, 49.468919], [8.470822, 49.468842], [8.470619, 49.468844], [8.470709, 49.469015], [8.470772, 49.469251], [8.47068, 49.469307], [8.470688, 49.469378], [8.470675, 49.469514], [8.470591, 49.469742], [8.470482, 49.469857], [8.47026, 49.470066], [8.470127, 49.470228], [8.470105, 49.470385], [8.470276, 49.470423], [8.470184, 49.470814], [8.470059, 49.47126], [8.469824, 49.471903], [8.46978, 49.471983], [8.469563, 49.472255], [8.469065, 49.473697], [8.468991, 49.473763], [8.468596, 49.474897], [8.46867, 49.474909], [8.468553, 49.475161], [8.468397, 49.475606], [8.468369, 49.47572], [8.468355, 49.475895], [8.468353, 49.475938], [8.468335, 49.475975], [8.468299, 49.475997], [8.468217, 49.47616], [8.468085, 49.476554], [8.468085, 49.476761], [8.468064, 49.47685], [8.467815, 49.477584], [8.467769, 49.477579], [8.467726, 49.477653], [8.467721, 49.477705], [8.467846, 49.477825], [8.467814, 49.477839]]",49.468919,8.470824,49.477839,8.467814,30612064,364019650,1390
17,"[[8.469749, 49.47996], [8.46976, 49.479971], [8.469592, 49.480037], [8.469371, 49.480145], [8.46911, 49.480244], [8.469076, 49.480251], [8.469101, 49.480266], [8.469264, 49.48041], [8.469205, 49.480435], [8.46924, 49.480479], [8.469264, 49.480581], [8.469057, 49.480661], [8.46905, 49.480684], [8.469015, 49.480688], [8.468761, 49.480784], [8.468782, 49.480807], [8.466351, 49.481754], [8.467141, 49.482627], [8.465846, 49.483141], [8.465779, 49.483319], [8.465751, 49.483319], [8.465686, 49.483405], [8.465685, 49.483436], [8.463197, 49.484415], [8.462279, 49.484761], [8.461529, 49.485063], [8.461515, 49.485161], [8.46217, 49.485873], [8.46214, 49.485944], [8.46215, 49.485946]]",49.47996,8.469749,49.485946,8.46215,339475,30612264,1285
18,"[[8.469749, 49.47996], [8.46976, 49.479971], [8.470037, 49.479863], [8.470132, 49.479816], [8.470253, 49.479737], [8.470312, 49.479687], [8.470428, 49.479631], [8.470214, 49.479447], [8.470361, 49.479373], [8.470335, 49.47935], [8.470366, 49.479335], [8.470308, 49.479286], [8.470266, 49.479274], [8.470256, 49.479241], [8.469029, 49.478151], [8.469057, 49.478068], [8.469233, 49.477977], [8.469266, 49.477979], [8.469758, 49.477723], [8.469845, 49.477707], [8.470196, 49.477508], [8.470285, 49.47743], [8.469728, 49.476976], [8.46923, 49.477245], [8.46916, 49.477087], [8.470186, 49.476535], [8.470329, 49.476445], [8.470605, 49.476288], [8.470759, 49.476188], [8.470832, 49.476149], [8.471193, 49.475973], [8.47136, 49.475918], [8.471416, 49.47589], [8.473186, 49.475005], [8.473383, 49.474882], [8.473485, 49.474829], [8.47498, 49.474086], [8.475275, 49.47391], [8.47544, 49.473781], [8.47563, 49.473601], [8.475975, 49.473312], [8.476311, 49.473064], [8.476731, 49.472861], [8.476848, 49.472858], [8.477147, 49.47273], [8.477872, 49.472442], [8.480113, 49.471586], [8.48049, 49.471435], [8.480561, 49.471405], [8.48133, 49.470992], [8.482098, 49.470511], [8.482359, 49.470322], [8.482255, 49.470261]]",49.47996,8.469749,49.470261,8.482255,339475,339478,1242
19,"[[8.463303, 49.48275], [8.463322, 49.48277], [8.464202, 49.482407], [8.46454, 49.482217], [8.464657, 49.482275], [8.464767, 49.482234], [8.464929, 49.482429], [8.465012, 49.482505], [8.465423, 49.482809], [8.4655, 49.482879], [8.465659, 49.483053], [8.465702, 49.483153], [8.465785, 49.483138], [8.465846, 49.483141], [8.467059, 49.482658], [8.469035, 49.481904], [8.469906, 49.481562], [8.469198, 49.4808], [8.469247, 49.480781]]",49.48275,8.463303,49.480781,8.469247,660951,276163348,1203
20,"[[8.473044, 49.49707], [8.473051, 49.497079], [8.473724, 49.496859], [8.47362, 49.496735], [8.473682, 49.496714], [8.473384, 49.496309], [8.472871, 49.49565], [8.473039, 49.495594], [8.472971, 49.49552], [8.473504, 49.495288], [8.473527, 49.495198], [8.473322, 49.495125], [8.473111, 49.49501], [8.473047, 49.494962], [8.47296, 49.494878], [8.471671, 49.493479], [8.471638, 49.493422], [8.47163, 49.493362], [8.471637, 49.493334], [8.471688, 49.493315], [8.471921, 49.493105], [8.472026, 49.493039], [8.472161, 49.492968], [8.47214, 49.49295], [8.472194, 49.492904], [8.472442, 49.492814], [8.472919, 49.492603], [8.473097, 49.49249], [8.472738, 49.492376], [8.47318, 49.492187], [8.473465, 49.49204], [8.473864, 49.491784], [8.474195, 49.49153], [8.474153, 49.491469], [8.474225, 49.491417], [8.474435, 49.491215], [8.474678, 49.490962], [8.475064, 49.490493], [8.475156, 49.490365], [8.475393, 49.489953], [8.475604, 49.489488], [8.475726, 49.489084], [8.475785, 49.488715], [8.475824, 49.488348], [8.475844, 49.487861], [8.475791, 49.487234], [8.475668, 49.48664], [8.475603, 49.486411], [8.475453, 49.486043], [8.4754, 49.486061], [8.47537, 49.485999], [8.475379, 49.485966], [8.475187, 49.485662], [8.475024, 49.485428], [8.47496, 49.485307], [8.474972, 49.485264], [8.474881, 49.485184], [8.474498, 49.484752], [8.473582, 49.483788], [8.473505, 49.483757], [8.471341, 49.481555], [8.471287, 49.481529], [8.471187, 49.481415], [8.47117, 49.48131], [8.471142, 49.481256], [8.471004, 49.48112], [8.470713, 49.480755], [8.470154, 49.480198], [8.470159, 49.480149], [8.470117, 49.480024], [8.47012, 49.479982], [8.47007, 49.479892], [8.470037, 49.479863], [8.46976, 49.479971], [8.469749, 49.47996]]",49.49707,8.473044,49.47996,8.469749,339343,339475,1193
21,"[[8.462391, 49.491183], [8.462346, 49.491134], [8.463312, 49.490756], [8.462118, 49.48948], [8.462013, 49.489367], [8.462002, 49.489355], [8.461983, 49.489334], [8.461179, 49.488481], [8.460376, 49.487595], [8.460024, 49.48727], [8.459585, 49.486895], [8.459685, 49.486855], [8.459567, 49.486714], [8.459534, 49.486582], [8.459523, 49.486472], [8.459526, 49.486372], [8.459539, 49.486297], [8.459634, 49.486025], [8.459661, 49.485959], [8.460734, 49.485522], [8.460624, 49.485401], [8.461214, 49.485073], [8.461531, 49.484921], [8.464971, 49.483573], [8.465811, 49.483224], [8.465846, 49.483141], [8.467141, 49.482627], [8.466351, 49.481754], [8.468225, 49.481024], [8.468204, 49.481001], [8.467934, 49.480709], [8.46841, 49.480498], [8.468529, 49.480457], [8.468778, 49.48039], [8.468851, 49.480348], [8.468965, 49.480303], [8.469113, 49.480274], [8.469101, 49.480266], [8.469076, 49.480251], [8.46911, 49.480244], [8.469371, 49.480145], [8.469592, 49.480037], [8.46976, 49.479971], [8.469749, 49.47996]]",49.491183,8.462391,49.47996,8.469749,339466,339475,1181
