u,v,key,stadtradeln_abs,nextbike_abs,stadtradeln_norm,nextbike_norm,diff_norm,geometry
512034,1579265627,0,4.0,0.0,5.274569008373114e-07,0.0,5.274569008373114e-07,"LINESTRING (467123.69598531886 5485035.255499677, 467110.5095684195 5485031.999662592, 467098.76797504077 5485030.669649046, 467087.2170713844 5485032.151332276, 467072.07145373296 5485038.891267569, 467058.1979785649 5485050.11518161, 467046.755761724 5485059.990291823)"
512034,3432089762,0,7.0,0.0,9.23049576465295e-07,0.0,9.23049576465295e-07,"LINESTRING (467123.69598531886 5485035.255499677, 467128.31798392104 5485038.296166107, 467133.528013233 5485042.823087087, 467138.64641486923 5485048.962657124, 467141.78295292665 5485054.146919867, 467144.3215302746 5485059.801738388, 467146.068928321 5485066.295166023, 467146.9027738184 5485072.538387619, 467146.7539005762 5485080.266208135, 467144.7269950381 5485089.850912649, 467141.30763265444 5485097.787446151)"
512039,1579266247,0,21.0,0.0,2.7691487293958853e-06,0.0,2.7691487293958853e-06,"LINESTRING (466939.7397336189 5485232.598395162, 466994.7058018558 5485133.205054049, 467025.2894777814 5485077.230486597, 467044.45835422754 5485041.5596191)"
512039,3244193543,0,0.0,0.0,0.0,0.0,0.0,"LINESTRING (466939.7397336189 5485232.598395162, 466950.1767710924 5485236.103957531)"
512051,1314648061,0,15.0,0.0,1.977963378139918e-06,0.0,1.977963378139918e-06,"LINESTRING (467206.37914107245 5484634.136247072, 467210.62638036464 5484622.959487051)"
512051,1358322248,0,29.0,0.0,3.824062531070508e-06,0.0,3.824062531070508e-06,"LINESTRING (467206.37914107245 5484634.136247072, 467215.5368939759 5484641.430092173)"
512057,3245806418,0,9.0,0.0,1.1867780268839508e-06,0.0,1.1867780268839508e-06,"LINESTRING (467465.73218474386 5484329.810098074, 467478.3100978086 5484323.042128884)"
512057,3245813358,0,37.0,0.0,4.878976332745131e-06,0.0,4.878976332745131e-06,"LINESTRING (467465.73218474386 5484329.810098074, 467475.1370709468 5484338.459281377)"
512063,151364436,0,8.0,0.0,1.0549138016746228e-06,0.0,1.0549138016746228e-06,"LINESTRING (467068.35422469344 5485232.387034271, 467075.5499602767 5485214.56608595, 467078.32960316766 5485207.400504453, 467080.04590530647 5485196.750330836, 467078.75540880125 5485184.417277342, 467073.81956044247 5485172.539834924, 467057.42234719166 5485152.960237849)"
512063,2600544043,0,14.0,0.0,1.84609915293059e-06,0.0,1.84609915293059e-06,"LINESTRING (467068.35422469344 5485232.387034271, 467059.3232137009 5485242.347622006, 467047.0925283559 5485255.829695928, 467040.7969019951 5485260.881915474, 467034.06631890155 5485264.624862436, 467026.45939764753 5485267.083443554, 467019.0320600888 5485268.117860162, 467011.4966678508 5485268.041152548, 467004.47072544746 5485267.227591941, 466996.20807886025 5485265.387563571)"
512064,309442830,0,1.0,0.0,1.3186422520932785e-07,0.0,1.3186422520932785e-07,"LINESTRING (466981.0026598151 5485260.9324166905, 466975.072251172 5485258.155511809, 466956.0554103364 5485247.052793002, 466948.0504219042 5485239.963634964)"
20977783,304264985,0,24.0,0.0,3.1647414050238687e-06,0.0,3.1647414050238687e-06,"LINESTRING (467614.8646787368 5482231.987755779, 467632.6441618862 5482263.723700448, 467637.7086829589 5482272.654624358)"
20977807,20977783,0,49.0,0.0,6.461347035257065e-06,0.0,6.461347035257065e-06,"LINESTRING (467565.11025312555 5482141.706392046, 467614.8646787368 5482231.987755779)"
20977807,1950074114,0,26.0,0.0,3.4284698554425246e-06,0.0,3.4284698554425246e-06,"LINESTRING (467565.11025312555 5482141.706392046, 467546.3805425881 5482112.288821504)"
20978257,1429172039,0,32.0,5.0,4.219655206698491e-06,5.15823238930459e-07,3.7038319677680323e-06,"LINESTRING (463723.8806973265 5480189.4948865175, 463729.56268422917 5480185.421358924, 463739.77513888397 5480178.427107983)"
20978257,2756965888,0,59.0,153.0,7.779989287350344e-06,1.5784191111272048e-05,-8.004201823921704e-06,"LINESTRING (463723.8806973265 5480189.4948865175, 463716.31015921937 5480178.660791679, 463714.4953079779 5480175.9378554085, 463711.9405419614 5480171.985753376, 463707.59456921177 5480165.599625894)"
20978257,3780110776,0,17.0,0.0,2.241691828558574e-06,0.0,2.241691828558574e-06,"LINESTRING (463723.8806973265 5480189.4948865175, 463723.43368089915 5480199.637349951, 463724.32238031994 5480203.633878171)"
20978257,10945181795,0,46.0,0.0,6.065754359629082e-06,0.0,6.065754359629082e-06,"LINESTRING (463723.8806973265 5480189.4948865175, 463711.4860880758 5480197.359744016)"
20978316,1437437466,0,16.0,5.0,2.1098276033492456e-06,5.15823238930459e-07,1.5940043644187867e-06,"LINESTRING (463209.2107058372 5479876.423281805, 463193.0859221926 5479883.3916585725, 463183.7207960889 5479886.011893835)"
20978316,1637620595,0,38.0,153.0,5.010840557954459e-06,1.5784191111272048e-05,-1.0773350553317589e-05,"LINESTRING (463209.2107058372 5479876.423281805, 463231.56504789356 5479875.68348937, 463248.1341048125 5479876.583690522)"
20978320,20978316,0,38.0,148.0,5.010840557954459e-06,1.5268367872341588e-05,-1.0257527314387129e-05,"LINESTRING (463180.83291226206 5479878.938159262, 463191.2665973173 5479876.833257229, 463209.2107058372 5479876.423281805)"
20978343,300992195,0,5.0,187.0,6.593211260466393e-07,1.929178913599917e-05,-1.863246800995253e-05,"LINESTRING (463203.1892952356 5480659.062513055, 463217.11757286405 5480655.444293825, 463233.8696127604 5480646.2147988565, 463252.52128556254 5480612.457634964, 463254.0150266689 5480609.434635334, 463254.59425137076 5480602.926774897, 463255.4483801493 5480596.361475179, 463258.3221778886 5480580.954985008)"
20978722,1165361026,0,917.0,224.0,0.00012091949451695366,2.3108881104084567e-05,9.78106134128691e-05,"LINESTRING (467012.9720676794 5481239.402743175, 467003.0509474037 5481243.409525442)"
20978722,1165361147,0,663.0,0.0,8.742598131378438e-05,0.0,8.742598131378438e-05,"LINESTRING (467012.9720676794 5481239.402743175, 467018.9261954172 5481236.9986737585, 467036.83904407645 5481229.74172889, 467037.3448638222 5481229.538554036)"
20978722,1422722338,0,834.0,0.0,0.00010997476382457943,0.0,0.00010997476382457943,"LINESTRING (467012.9720676794 5481239.402743175, 467019.69839518424 5481250.913508014)"
20978790,20978794,0,13.0,0.0,1.7142349277212623e-06,0.0,1.7142349277212623e-06,"LINESTRING (467515.7864150133 5482051.03379141, 467527.71391589876 5482071.597474764, 467533.6998223386 5482081.957019024)"
20978794,20977807,0,26.0,0.0,3.4284698554425246e-06,0.0,3.4284698554425246e-06,"LINESTRING (467533.6998223386 5482081.957019024, 467542.440123798 5482091.4885873655, 467557.1115333553 5482118.017400561, 467565.11025312555 5482141.706392046)"
20978821,3852620195,0,248.0,0.0,3.270232785191331e-05,0.0,3.270232785191331e-05,"LINESTRING (467499.64905777073 5482206.4902343275, 467477.2929765087 5482207.813025238, 467441.86934052693 5482211.126117518, 467381.4008293207 5482219.05844089, 467340.20731973875 5482226.342393165, 467284.8180132287 5482237.047086631, 467253.6756286812 5482245.327642993, 467222.425212407 5482254.898694652, 467190.46350528556 5482265.396982359, 467158.45684643 5482276.829626615, 467111.89268649096 5482295.309932566, 467068.04063765117 5482315.530889248, 467023.1621499122 5482338.415566308, 466983.8512658158 5482360.988983573, 466945.72053207847 5482384.656205087, 466895.48354041943 5482419.39266406, 466847.1497491363 5482456.174830684, 466797.3734227152 5482497.37999298, 466764.0175928682 5482527.123149622, 466735.8192539476 5482552.276758402, 466687.003629192 5482601.103934781, 466674.0182902399 5482613.9909805525, 466648.8447867612 5482641.016611357, 466607.89708192524 5482686.61673041, 466570.43858439964 5482731.906724932, 466537.7329499015 5482775.133270055)"
21133583,21133579,0,3.0,0.0,3.955926756279836e-07,0.0,3.955926756279836e-07,"LINESTRING (465594.02063085965 5484251.297812345, 465598.5968444435 5484254.871142458, 465796.32489772554 5484409.833874632, 465853.96316606615 5484452.409979513, 465891.32613452367 5484478.0474984115, 465925.5638880143 5484499.446644509, 465977.8407508253 5484531.184248837, 466039.09350392665 5484565.245671806)"
21280193,1341166510,0,18.0,0.0,2.3735560537679016e-06,0.0,2.3735560537679016e-06,"LINESTRING (466389.69108297274 5474430.327209895, 466381.38210309943 5474436.626413492, 466373.74006820587 5474444.055536544)"
21280254,286921410,0,81.0,0.0,1.0681002241955556e-05,0.0,1.0681002241955556e-05,"LINESTRING (466355.3973553574 5474300.0050304895, 466341.975565819 5474283.989150169, 466338.6871212014 5474281.152131817)"
21280254,286968149,0,43.0,0.0,5.6701616840010985e-06,0.0,5.6701616840010985e-06,"LINESTRING (466355.3973553574 5474300.0050304895, 466357.8085027014 5474317.044761124, 466358.85635735095 5474327.044251409, 466361.11849088146 5474339.904643451, 466365.5829542303 5474361.801308061)"
21280286,286968153,0,27.0,0.0,3.5603340806518524e-06,0.0,3.5603340806518524e-06,"LINESTRING (466231.76361458394 5474450.978072567, 466231.5257603546 5474445.342862261, 466231.28765290184 5474440.841659879)"
21280286,286968154,1,2.0,0.0,2.637284504186557e-07,0.0,2.637284504186557e-07,"LINESTRING (466231.76361458394 5474450.978072567, 466221.024478417 5474461.8507836815, 466215.00404687406 5474462.888553779, 466186.22960471135 5474464.633924997, 466169.40438485856 5474465.905304256)"
21280319,1341166634,0,2.0,0.0,2.637284504186557e-07,0.0,2.637284504186557e-07,"LINESTRING (466551.7097747936 5474126.0878751995, 466553.39620071126 5474135.005076004)"
21280319,2500900722,0,110.0,0.0,1.4505064773026065e-05,0.0,1.4505064773026065e-05,"LINESTRING (466551.7097747936 5474126.0878751995, 466560.5931026348 5474122.275794061)"
21280345,1778308113,0,122.0,0.0,1.6087435475538e-05,0.0,1.6087435475538e-05,"LINESTRING (466306.5349603648 5474435.308035599, 466335.5032833854 5474427.325072868, 466348.9472437431 5474425.7748252, 466354.9394829955 5474424.8596714)"
21280388,21280193,0,100.0,0.0,1.3186422520932786e-05,0.0,1.3186422520932786e-05,"LINESTRING (466449.91321213346 5474394.347557741, 466441.60881078074 5474404.960309146, 466433.9830184187 5474411.510948098, 466419.1525378776 5474419.951355667, 466406.377345956 5474425.2995788725, 466389.69108297274 5474430.327209895)"
21280388,1341166870,0,72.0,0.0,9.494224215071606e-06,0.0,9.494224215071606e-06,"LINESTRING (466449.91321213346 5474394.347557741, 466463.4411319024 5474382.813380578, 466482.6265854535 5474363.061945265, 466497.0902527423 5474345.607503497, 466519.8596070637 5474314.138435922, 466536.9829707919 5474284.449476254, 466547.55794876383 5474260.804166262, 466553.9502681833 5474241.064522995)"
21280413,21280254,0,96.0,0.0,1.2658965620095475e-05,0.0,1.2658965620095475e-05,"LINESTRING (466353.1824937483 5474266.532128549, 466355.3973553574 5474300.0050304895)"
21432788,297597870,0,225.0,0.0,2.966945067209877e-05,0.0,2.966945067209877e-05,"LINESTRING (466753.3892445107 5481231.56070153, 466765.5646663994 5481251.6320475815, 466767.1934398336 5481256.224907906, 466769.0874330753 5481261.549930119)"
21432792,21432861,0,49.0,0.0,6.461347035257065e-06,0.0,6.461347035257065e-06,"LINESTRING (466809.7428110037 5481186.112811518, 466810.00377449207 5481193.293333165, 466806.9357476231 5481198.59294897, 466773.77579646953 5481219.00686271, 466768.7231681507 5481221.939367661)"
21432792,2358298915,0,6.0,0.0,7.911853512559672e-07,0.0,7.911853512559672e-07,"LINESTRING (466809.7428110037 5481186.112811518, 466824.2615488136 5481196.075063841, 466842.9750290175 5481220.476151354, 466848.09617672954 5481227.627157103)"
21432834,21432792,0,7.0,0.0,9.23049576465295e-07,0.0,9.23049576465295e-07,"LINESTRING (466790.7809798841 5481159.033953918, 466809.7428110037 5481186.112811518)"
21432834,1356437246,0,22.0,0.0,2.901012954605213e-06,0.0,2.901012954605213e-06,"LINESTRING (466790.7809798841 5481159.033953918, 466760.66116997536 5481118.448235915)"
21432844,1684956389,0,50.0,0.0,6.593211260466393e-06,0.0,6.593211260466393e-06,"LINESTRING (466687.731810552 5481085.205784204, 466720.30004609097 5481092.411615818, 466731.48563176295 5481096.190203682)"
21432861,21432788,0,48.0,0.0,6.329482810047737e-06,0.0,6.329482810047737e-06,"LINESTRING (466768.7231681507 5481221.939367661, 466763.23195498594 5481225.408202802, 466753.3892445107 5481231.56070153)"
21432861,21432792,0,3.0,0.0,3.955926756279836e-07,0.0,3.955926756279836e-07,"LINESTRING (466768.7231681507 5481221.939367661, 466773.77579646953 5481219.00686271, 466806.9357476231 5481198.59294897, 466810.00377449207 5481193.293333165, 466809.7428110037 5481186.112811518)"
