,osm_id,matrix_index,lon,lat,Degree,generalized Degree,betweenness
0,512034,0,8.5457964,49.517048,1,Counter({0: 1}),6.388052344397788e-07
1,20978257,1,8.4992728,49.4732689,3,Counter({0: 3}),0.0009251061258750615
2,20978316,2,8.4921981,49.470422,3,"Counter({1: 2, 0: 1})",0.0012331844684844277
3,20978320,3,8.4918062,49.4704429,4,"Counter({1: 2, 0: 2})",0.001650086197799387
4,20978343,4,8.4920422,49.4774611,1,Counter({0: 1}),0.0003084267818281514
5,20978627,5,8.5240589,49.4803159,1,Counter({0: 1}),5.8073203130888986e-08
6,20978722,6,8.5445837,49.4829,1,Counter({0: 1}),5.8073203130888986e-08
7,20978821,7,8.551223,49.4916248,1,Counter({0: 1}),5.8073203130888986e-08
8,21133583,8,8.5247322,49.5099118,1,Counter({0: 1}),1.1614640626177797e-07
9,21648952,9,8.4908881,49.4702422,4,"Counter({1: 2, 0: 2})",0.025304652018002253
10,21649702,10,8.4548753,49.4916775,2,Counter({0: 2}),0.01099481872228232
11,21649767,11,8.455774,49.4870026,4,Counter({0: 4}),0.001725097918112829
12,21649781,12,8.4559122,49.4853712,2,Counter({0: 2}),0.0003964254403289346
13,21650017,13,8.4906358,49.471053,2,Counter({0: 2}),0.0009207650270472538
14,21650045,14,8.4891025,49.474544,2,Counter({0: 2}),0.0010753959263595687
15,21672845,15,8.4906362,49.4768815,2,Counter({0: 2}),0.010251373860023217
16,21672882,16,8.4909453,49.4771336,3,"Counter({1: 2, 0: 1})",0.009585269803774225
17,21672897,17,8.4884249,49.4764155,5,"Counter({1: 2, 2: 2, 0: 1})",0.01588973697166062
18,21672943,18,8.4954943,49.4765288,3,Counter({0: 3}),0.01500325272061809
19,21672958,19,8.4866182,49.4745208,2,Counter({0: 2}),0.009612673732389382
20,21673578,20,8.4825254,49.4739335,4,"Counter({0: 2, 1: 2})",0.001749467499760855
21,21673581,21,8.4827144,49.4735784,3,Counter({0: 3}),0.013850549029665623
22,21673584,22,8.4834378,49.4728665,2,Counter({0: 2}),0.013509739404376924
23,21673613,23,8.4828663,49.4699536,3,Counter({0: 3}),0.0011805362630931929
24,21686237,24,8.5235752,49.4735284,2,Counter({0: 2}),0.005228388551077066
