u,v,k,route_id
615289109,638356284,0,0
310220562,1412555479,0,1
310220562,310420028,0,1
614616710,724239391,0,2
614616710,623936833,0,2
310220562,310420028,0,3
1106412997,291880662,0,4
1106412997,291880662,0,5
1106412997,291880662,0,5
291880662,411746956,0,5
411746956,291880662,0,5
291880662,411746956,0,5
291880662,411746956,0,5
291880662,411746956,0,5
411746956,291880662,0,5
411746956,291880662,0,5
411746956,291880662,0,5
411746956,291880662,0,5
411746956,291880662,0,5
411746956,851586524,0,5
851586524,411746956,0,5
851586524,411746956,0,5
402867330,851586524,0,5
402867330,1670874083,0,5
1670874083,402867330,0,5
1670874083,402867330,0,5
402867330,1670874083,0,5
1670874045,1670874083,0,5
1670874045,1670874083,0,5
1670874083,1670874045,0,5
1670874045,1670874083,0,5
1670874045,1670874083,0,5
1670874045,1670874083,0,5
1670874045,1670874083,0,5
1670874045,1670874083,0,5
1670874045,1670874083,0,5
1670874083,1670874045,0,5
1670874045,1670874083,0,5
1670874045,1670874083,0,5
1670874045,1670874083,0,5
1670874045,1670874083,0,5
1670874045,1670874083,0,5
1670874045,1670874083,0,5
1670874045,1670874083,0,5
1670874045,1450966851,0,5
391934987,1450966851,0,5
391934987,1450966851,0,5
710121694,310220568,0,6
310220568,710121694,0,6
1106412997,291880662,0,7
1106412997,291880662,0,7
411746956,291880662,0,7
10214633698,291880662,0,8
291880662,10214633698,0,8
411746956,291880662,0,8
291880662,10214633698,0,9
12060570482,6968367051,0,10
8324595301,6968367051,0,10
8324595301,10214564625,0,10
291880662,411746956,0,11
291880662,411746956,0,11
411746956,291880662,0,12
291880662,10214633698,0,12
291880662,10214633698,0,12
10214633698,291880662,0,12
10214633698,291880662,0,12
10214633698,291880662,0,13
291880662,10214633698,0,13
10214633698,291880662,0,14
10214633698,291880662,0,14
411746956,291880662,0,15
411746956,291880662,0,15
710121694,310220568,0,16
310220568,710121694,0,16
291880662,10214633698,0,17
291880662,10214633698,0,17
291880662,10214633698,0,18
291880662,10214633698,0,19
10214633698,291880662,0,19
411746956,291880662,0,20
10214633698,291880662,0,21
291880662,10214633698,0,21
291880662,10214633698,0,22
310220568,710121694,0,23
310220568,710121694,0,23
393747293,304912079,0,24
304912079,393747293,0,24
872521879,304912079,0,24
872521879,860552376,0,24
309060444,860552376,0,24
309060444,309060449,0,24
8934896891,309060449,0,24
8934896891,393747301,0,24
8934896891,393747301,0,24
8934896891,393747301,0,24
8324595301,10214564625,0,25
10214564625,10214564630,0,25
10214633698,291880662,0,26
291880662,10214633698,0,27
10214633698,291880662,0,27
291880662,10214633698,0,27
291880662,10214633698,0,27
291880662,411746956,0,27
411746956,291880662,0,27
291880662,411746956,0,27
291880662,411746956,0,27
291880662,411746956,0,27
411746956,291880662,0,27
411746956,291880662,0,27
411746956,291880662,0,27
411746956,291880662,0,27
411746956,291880662,0,27
411746956,8934902317,0,27
8934902317,411746956,0,27
8934902317,309929937,0,27
8934902317,309929937,0,27
8934902317,309929937,0,27
8934902317,309929937,0,27
8934902317,309929937,0,27
8934902317,309929937,0,27
309929937,6620854584,0,27
309929937,6620854584,0,27
6620854584,309929937,0,27
309929937,6620854584,0,27
309929937,6620854584,0,27
8934896891,6620854584,0,27
8934896891,6620854584,0,27
8934896891,6620854584,0,27
8934896891,393747301,0,27
8934896891,393747301,0,27
309060469,393747301,0,27
393747301,309060469,0,27
309060469,393747301,0,27
309060469,393747301,0,27
309060469,393747301,0,27
310220568,710121694,0,28
309060469,393747301,0,29
309060469,393747301,0,29
411746956,291880662,0,30
291880662,411746956,0,30
411746956,291880662,0,31
411746956,291880662,0,32
304912079,393747293,0,33
411746956,291880662,0,34
291880662,411746956,0,34
291880662,411746956,0,34
393747301,309060469,0,35
309060469,393747301,0,36
291880662,411746956,0,37
309060469,393747301,0,38
309060469,393747301,0,38
393747301,309060469,0,39
309060469,393747301,0,39
309060469,393747301,0,39
393747301,309060469,0,39
309060469,393747301,0,39
8014113170,8014113156,0,40
290968256,291324760,0,41
290968256,291324760,0,41
411746956,291880662,0,42
309060469,393747301,0,43
309060469,393747301,0,43
