,osm_id,matrix_index,lon,lat,Degree,generalized Degree,betweenness
0,512034,0,8.5457964,49.517048,3,"Counter({1: 2, 0: 1})",0.009846054538210011
1,512039,1,8.5432385,49.518813,4,"Counter({0: 2, 1: 2})",0.0008286840837434475
2,512051,2,8.546972,49.5134446,4,"Counter({1: 2, 0: 2})",0.0013804565774893727
3,512057,3,8.5505798,49.5107213,4,"Counter({0: 2, 1: 2})",0.002996393333898991
4,512063,4,8.5450154,49.5188181,3,Counter({0: 3}),0.0011595778021499807
5,512064,5,8.5438062,49.5190701,3,"Counter({1: 2, 0: 1})",0.000544102228788517
6,20977775,6,8.5526554,49.4923373,1,Counter({0: 1}),9.677080207252187e-05
7,20977783,7,8.5528118,49.4918603,3,Counter({0: 3}),0.027406206178987712
8,20977807,8,8.5521322,49.4910456,3,"Counter({1: 2, 0: 1})",0.013792003145282746
9,20978209,9,8.5008378,49.4744222,3,Counter({0: 3}),0.005124406845298053
10,20978257,10,8.4992728,49.4732689,5,Counter({0: 5}),0.004794403873767039
11,20978316,11,8.4921981,49.470422,3,"Counter({1: 2, 0: 1})",0.0010180132484668284
12,20978320,12,8.4918062,49.4704429,4,"Counter({0: 2, 1: 2})",0.0012338751483110637
13,20978340,13,8.4919482,49.4775134,3,Counter({0: 3}),0.00018269130601671483
14,20978343,14,8.4920422,49.4774611,2,Counter({0: 2}),0.00017033451798961058
15,20978627,15,8.5240589,49.4803159,1,Counter({0: 1}),4.723291784094195e-09
16,20978722,16,8.5445837,49.4829,4,Counter({0: 4}),0.0003621848904441863
17,20978726,17,8.5453115,49.4835674,1,Counter({0: 1}),9.677080207252187e-05
18,20978790,18,8.5514586,49.4902274,1,Counter({0: 1}),9.677080207252187e-05
19,20978794,19,8.5517034,49.4905065,4,"Counter({1: 2, 0: 2})",0.014000868121895337
20,20978821,20,8.551223,49.4916248,2,Counter({0: 2}),0.00019353688085325965
21,21133583,21,8.5247322,49.5099118,1,Counter({0: 1}),9.44658356818839e-09
22,21280193,22,8.5365568,49.4216208,3,"Counter({1: 2, 0: 1})",0.0008550380674567277
23,21280251,23,8.5389803,49.418155,2,Counter({0: 2}),9.720377048606382e-05
24,21280254,24,8.536095,49.4204467,3,Counter({0: 3}),0.0005211155114059446
25,21280286,25,8.5343775,49.4217978,2,Counter({0: 2}),0.00019206555297064863
26,21280316,26,8.5389632,49.4194898,1,Counter({0: 1}),9.677080207252187e-05
27,21280319,27,8.5388164,49.4188932,4,"Counter({0: 2, 1: 2})",0.00019206310885458262
