name,lat,lon,bearing,trips_2022,ref_2022,ratio_2022,trips_2023,ref_2023,ratio_2023,trips_2024,ref_2024,ratio_2024
Renzstraße,49.49027,8.481114,3.8,4633,102647.0,0.0451,5572,103815,0.0537,3851,95741,0.0402
Jungbuschbrücke,49.49716706,8.4591966,166.6,892,32517.0,0.0274,510,29739,0.0171,579,30795,0.0188
Lindenhofüberführung,49.4799213,8.46539839,174.2,1258,37379.0,0.0337,964,21817,0.0442,1038,43023,0.0241
Neckarauer Übergang,49.47192734,8.48418117,170.9,1903,30941.0,0.0615,3017,29536,0.1021,3481,29002,0.12
Schlosspark Lindenhof,49.48163244,8.46035466,161.7,1190,41297.0,0.0288,798,35906,0.0222,860,37243,0.0231
Konrad-Adenauer-Brücke,49.48159001,8.45751554,34.5,2282,56673.0,0.0403,1318,56148,0.0235,1306,58871,0.0222
Kurpfalzbrücke,49.49409911,8.47216251,31.5,3777,139954.0,0.027,3116,148839,0.0209,2592,115641,0.0224
Feudenheimstraße,49.488887,8.51346,95.7,1467,,,1342,31706,0.0423,1151,28096,0.041
Luzenbergstr.,49.5143795,8.47309392,42.3,1523,,,1083,18999,0.057,1233,18703,0.0659
B38,49.5029295,8.4976733,0.0,7093,,,5803,17871,0.3247,7013,32496,0.2158
Theodor-Heuss-Anlage,49.477773,8.5038,79.1,4330,,,4529,25414,0.1782,4678,20304,0.2304
Fernmeldeturm,49.48678,8.49342,115.1,3179,,,3219,59452,0.0541,2962,51963,0.057
